Date,Title,Content,Name,Rating,Version
10/12/2016,Auto play course when just trying to download,"Downloading course no longer downloads in background
I have to keep pressing the screen to keep my phone from going to sleep to actually download
Even then the download process is incredibly slow on an incredibly fast internet connection",Dktechmobile,1,2.14
10/10/2016,Chromecast support is bad,"When casting via chromecast allow videos to continue. When we pay for subscription, we expect to play videos smoothly without interruption.",sandeepvera,1,2.14
10/8/2016,One star that dreams to be no star (2* up),"Update on my review after they upgraded app. Thank you for your efforts guys, I give 3 stars now and I can feel this application will get to the perfection. 

Original review: 
I have to download part of the course I want to watch, and while that's bearable, when downloaded videos refuse to play it's not! Its little embarrassing for highly technical company (or should I say two companies) to have such a buggy app for such a long time as I can see from all reviews. Take a look at Lynda app please and find some way of improving. Also, syncing of playlists, progress, quizzes etc. between two companies is terrible.",tdanijel,5,2.14
10/7/2016,App continually hangs up.,"I don't know if it's the fault of the app or the service, but Pluralsight continually gives me the spinning circle of death. Load times between modules are laggy and sometimes simply don't complete.",baslack,2,2.13
10/5/2016,Amazing content!,Great content and so convenient!,twood83,5,2.12
10/2/2016,Videos won't play,Can play videos from my laptop just fine. Doesn't work at all from the iOS app. And this is version 2? That's pretty embarrassing for a tech education company.,OOC17,1,2.12
9/25/2016,Videos are not playing,I have a high speed in internet connection. Never had any problems with video streaming but this app. No problem with web site or quality of videos. They are excellent. This rating is purely for app.,CoastalKing,2,2.12
9/25/2016,high quality tutorials,great value providing career upgrade across many related skills.,8design8,5,2.12
9/23/2016,An embarrassment,"I wish I could write a better review. I really wish I could say something positive about this app but I can't. The videos buffer every 5 seconds, the UI is not the great and the UX is bad. I love the courses and videos that Pluralsight has to offer but this app is completely useless. Please! Update this app immediately.",Cee-J,2,2.12
9/22/2016,Lol it got worse,"It was pretty decent for awhile and then bam, can't modify the playback speed with the latest update...come on guys why are you trolling ?",oshalygin,2,2.12
9/20/2016,Great app with great materials,Great app with great materials,Mbenslimane,5,2.12
9/16/2016,Authorize issues,I have to authorize Apple TV app every time I open it. After some idle period authorize again!,peringz,1,2.12
9/13/2016,Love but.,I love this app. I use it in my commute time. But suddenly some downloaded videos refuses to start.,Agustin B.,3,2.12
9/6/2016,Videos don't play,Videos refuse to start,Stobak117711,1,2.12
9/4/2016,Videos won't play,"This app would be great if you could actually watch the videos. The interface for finding courses and remembering your place is very good. However, you can't watch more than 10-15 seconds of video at a time before it has to stop to buffer. And it's not even buffering because it doesn't load more video. It just sits there and does nothing until you back out of the video and start again. And it's not my connection because I can use a browser on my phone and watch the videos from the website just fine. It's only a problem in the app on both iPhone and iPad.",erod550,2,2.12
8/31/2016,Not good,"The content is great the app is not good. The search is very slow there is only the concept of a bookmark that is used everywhere, no wish list no courses I've tsken, courses in progress etc. Worst of all is I tried to download two courses on my phone over wifi and left it all night. Neither were complete by morning. They need to try the UDEMY app which I used.for.one course and was much better. *not only does it take at least 8 hours to download a course, 20% of my videos are corrupt and I have to delete and stream them to watch. Pitiful. The single worse app olive ever used and keeps getting worse not better.",Chrismilnem,1,2.12
8/27/2016,Great learning experience,I've used Lynda but my current employer went with Pluralsight. Questioned at first but this is a very good alternative. Has a great environment to do lessons.,trueimagemedia,4,2.12
8/11/2016,Jams099,"Poor app, video hangs",Jams099,1,2.12
8/10/2016,LOUDER!!,"A lot of these videos are not loud enough for a subway, gym, etc.",Ugh999999999,3,2.12
8/10/2016,Terrible app,"For a tech company that has techies as their primary customers - this is a very badly written and designed app.  Bad UI bad UX bad performance :(

Super slow to load anything.  I have been trying to watch a course for a week now and it just spins.  I ended up switching to safari and watching it there and it loaded instantly (the web app is decent but needs work too)

Come on guys hire one of your great instructors to build you a proper app and improve performance.   This is not rocket science - It's a simple app that streams videos!!!",Shaka113,1,2.12
7/26/2016,"Great Content, Poor App","It has been commented before and is true that the content on PluralSight is fantastic and a great learning tool, but the app leaves a lot to be desired.

There's a lot of functionality found on the website that simply was not translated over to the mobile app. It is extremely difficult to find videos that you've already been watching on the website. The search function is not incredibly useful. You not have the ability to find bookmarks created on the website nor do you have the ability to create bookmarks within the app. This is the same for playlist as well. You are only given the ability to download modules to be viewed offline later

A lot of work needs to be done before I can recommend the application to anyone.",BrianJ334,2,1.9.4
7/23/2016,Crashes,Chromecast feature not very great,Shravanthi,2,2.12
7/14/2016,Well done!,This app has made leaps and bounds since 3 years ago when I first downloaded it. Keep the improvements coming!,utahpadre,5,2.12
7/10/2016,Nice,Works well on iphone 6 using wi-fi.,V112321$&,5,2.11
7/8/2016,Not Acceptable,Are you kidding me? Still can't login with digital tutor credentials? Over year now? Level of ineptitude is pretty egregious. Get your &@$?! together!,Spookyboob,1,2.11
7/2/2016,Can't download or watch trainings,I've been trying for hours to get videos downloaded but nothing happens or the app crashes. Love the videos but the app needs to be fixed. Hopefully asap!,Utebean,2,2.11
6/30/2016,App Causes Wifi Issues,"The wifi connection on my iPad Pro 9.7 inch disconnects and reconnects while using the Pluralsight app.  No other apps seem to cause this problem.  I love Pluralsight content however, it has been impossible to consistently stream videos.  Other streaming apps like YouTube, CBT Nuggets, and MSNBC work fine on the same wireless networks.",AshtonSolis,1,2.11
6/28/2016,Can't login with Digital Tutors Account,I signed up via digital tutors....,Saiyora-Saga,1,2.11
6/25/2016,Video streaming broken,"The will not stream to chromecast, the video loading icon will flash indefinitely but will not display on the tv.",QasBoss,5,2.11
6/20/2016,They'll get to it...,"Over a year since absorbing digital tutors, still won't allow them to log in to the pluralsights app. ""We're working on it.."" Maybe they can use their own tutorials to figure it out?",amdivoff,1,2.11
6/14/2016,"Great study resource, much improved!",My only issue with the app had been that it didn't sync with my progress when learning through a web portal such as on my laptop. Thankfully that issue has been resolved and I like the new interface. I've been using Pluralsight since they were Trainsignal and they've come a long way. Customer support via email is very responsive.,Bensen408,5,2.1
6/12/2016,Please fix this,I have been waiting for months to see a fix but never worked at all. No content can be found after signing in...,zoozalp,1,2.1
6/12/2016,Digital Tutors Access,It would be great if I could access this app and also the AppleTV app using my Digital Tutors sign in. Where's the access for these accounts on your app? The mobile site leaves a lot to be desired as well even if the app seems to be pretty rough from those that can use it.,bb_media,1,2.1
6/11/2016,Great apps,Great apps and great team . Please add latest tech videos .,Kick area,5,2.9
6/11/2016,Chromecast doesn't work,Chromecast doesn't work,Chasewilder75,2,2.1
6/11/2016,Digital Tutors Access Please!,"Still waiting for Digital Tutors login to be accessed through the app, same as on the website. Or at the very least, bring back the old Digital Tutors app so I can access my account. This merger is a disservice to all members who don't have a direct Pluralsight account. Which is ironic, considering all the merged accounts are suppose to be Pluralsight now.",k mi,1,2.1
6/8/2016,Glitches galore,"It's awesome to be able to download and then watch videos while on my commute. The app works wonderful if you're just listening to the training but if you want to watch the videos you'll be sol. 

If my mobile internet service isn't perfect, I'll have to put my phone in airplane mode in order to access the downloaded videos and if I turn off airplane mode and my phone gets internet access for a sec and then loses it, I'll have to force close the app. I'll be lucky if the app doesn't freeze while I'm watching the vid, I'll then have to force the app to close cuz the sound is still playing but the video is just stuck. 

Way to buggy just to view videos that I've already downloaded and for a service that cost way too much money.",ChiKiTin Flow,2,2.9
6/3/2016,Excellent,Great quality solid app. I use it to listen to training that I don't need to look at during my commute. It's great to be able to use that time on my cell to train. It keeps where I left off on my desktop so I can pick up on my cell on the way home from work. The app feels solid and let's me set the video speed too.,rcronk,5,2.9
5/30/2016,Can't login.,Cannot login with digital-tutors account. Please fix,Bagel_Bites,1,2.9
5/29/2016,Recent updates worked!,"This app used to freeze and refuse to play often. Lately videos start right up, and continue playing between clips without crashing. Awesome!

The downloads option makes watching videos at the gym easy. Love this app.",DingleMcFarty,5,2.9
5/28/2016,Updated to 5 stars,This app used to frustrate me every time i used it. They must have made some dev team changes in the last couple months because they have been putting out SOLID updates and now i love the app. I can download my courses fine and watch without any errors interrupting me. I feel like I'm getting my moneys worth finally!,Dale J Cox,5,2.9
5/27/2016,Sad User,DigitalTutor users still get screwed and do not get access through the app. Only the website. Poor customer service.,TeachMeSomeThingCool,1,2.9
5/26/2016,"App is finally usable, not entirely stable","Content is excellent. Echo previous reviews in that downloaded videos often fail- 15+% is in the right ballpark. 
Previous versions were useless- glad I stuck with the service long enough to see an app I can use on the subway.",ChronicallyBored,4,2.8
5/21/2016,Amazing content but bad streaming,"I don't know what has happened to Pluralsight. I feel scared to use this app.. It's streaming was never great but it has become so bad that of 30 minute you will spend on learning you are spending 20 minutes to keep restarting the video so that it works. Sometimes nothing shows up, sometimes only audio plays and sometimes only video with no audio. Poor poor poor. Please learn some stuff from your authors and fix the problems.. For god's sake it's a paid service!!",MumbaiIndian,2,2.8
5/17/2016,Getting ready to cancel membership,"Since last upgrade, pretty much worthless on my iPad. Plenty of bandwidth and will not play. Plays 10 seconds of video if that and then just spins.",Bp1533,1,2.8
5/16/2016,Very well improved,The app was improved alot and UI is very friendly and it became easy to browse the courses,Lokebabu,5,2.8
5/13/2016,Unreliable,Downloaded videos fail at least 15% of the time. Disappointing.,Youcangowiththis,1,2.8
5/13/2016,Well worth its weight in gold,"Pluralsight, in its updated evolution, puts IT education, retraining, & learning innovative technologies within reach of anyone willing to take on the challenge of daily discipline of viewing courses that can improve one's value in the workplace.  I've invested in my own future with course offerings, certifications, & expansive levels of expertise.  Pluralsight makes winners of us all!",StakeYrClaim,5,2.8
5/13/2016,ممتاز,محتوى الدورات متميز خصوصاً للمهتم في دوت نت,Brahemgh,5,2.8
5/8/2016,CodeSchool makes it great,The addition of code school is excellent. But the app is well rounded and stable. Excellent UX.,Rog983274,5,2.7
5/7/2016,"Love the videos, hate the player","It's Pluralsight. The content is great, of course. The app UI and UX are are also pretty good, but the video playback....terrible.",Scrambler1111,2,2.7
5/3/2016,Huge improvement!,Significantly better than the previous version. I'm looking forward to using it more.,topfunky,5,2.7
4/30/2016,5 stars for the content,"The apps not perfect, I sometimes run into ""this video could not be loaded"" even with a good Internet connection. However, the content on Pluralsight is outstanding!",JB1908,5,2.7
4/30/2016,Unusable on iOS 7.1.2,"Please fix updating catalog in IOS 7.1.2. Cannot login with corporate account. 40min to update on Wifi/fiber. It is not usable.

Buy a new phone to use this app to upgrade to IOS 9? Nope

I used to give this app 5star.",Bcgamer9000,5,2.7
4/28/2016,Great content if you could watch it,"""An error occurred loading this video. Please try again.""

That's about as much video as you'll ever get to watch.",Sfforeigner,2,2.7
4/28/2016,Videos load VERY slowly,I just wait but the class material takes longer to download than the length of the video when played.,Deb in Seattle,1,2.7
4/28/2016,Love it,Knowledge on the go! A huge library of courses.,BobSutter,5,2.7
4/28/2016,Drains Battery on iPad Air 2,I never write reviews for apps so this is a first. Battery on my iPad Air 2 was drained twice after running pluralsight app. I checked battery usage and pluralsight app was identified as the culprit. Please fix it. I also found skipping videos that I downloaded.,Developer78,5,2.6
4/20/2016,Error message is displayed after every video chunk,"Error message is displayed after every video chunk, requiring to retry by pressing Resume Course. This is quite annoying because speed setting gets reset to 1x every time.",tokenbucket,2,2.6
4/18/2016,No go with AirPlay,"I sat down to watch a course using AirPlay to the new Apple TV 4 today and it was an exercise in frustration. Took forever to start a video, kept skipping chapters, lots of pauses, had to constantly manage the app from iPad to get anything to AirPlay. It wasn't worth the frustration. I didn't want to sit in front of computer tonight, but I guess I have to if I want smooth video playback.",Gobie74,1,2.6
4/9/2016,Please fix this app!,"Your service is costly and I only signed up because of your promised user experience. You promised fluidity through different devices... And yet I cannot even view a course without it crashing on my iPhone. Please listen to your users and fix this application. I know I am only one user, but I will cancel my subscription if this is not fixed soon.",Dragonspank,2,2.5
4/4/2016,Why bother downloading content?,Every course I download has multiple chapters that don't load. Total momentum killer.,Sportshub_mm,1,2.5
3/31/2016,Downloaded Courses Gone,All my downloaded courses have disappeared. Items I watched aren't syncing and showing as watched on website.,mosoccer18,2,2.5
3/28/2016,"A bit buggy, to be sure.","I'm having the same issues reported by others. There's the black screen that just hangs between videos every once in a while. I can't tell if it's the app or a bad video, but that's just it; you can't tell.

It's also unable to track my offline viewing progress. Going back online causes the app to sync with the online progress and erases the offline progress.

And then there's the times my iPad crashes while closing the app. It's not often, but it doesn't have to be. It's not a happy time.",Daemonfall,2,2.5
3/21/2016,"Horrible playback, horrible auto start","The only way to learn from this company is in a web browser. This app has always sucked. I cancelled my membership over it. How do you have a company that makes videos, yet cannot make a video player? Even after waiting months and signing back up, exact same issues, just redesigned. Stop wasting your customers money and start meeting minimum expectations.",oragainst,1,2.5
3/7/2016,Good content AirPlay is broken,The latest update broke AirPlay support.  It disconnects every couple of minutes now,Btaylor188,2,2.5
3/7/2016,Latest update broke all,"The app is crashing on launch, being an paid customer, it's frustrating.",Vamsi21,1,1.9.4
3/5/2016,Latest update broke it all,"Things were fine until the most recent update. I am starting to get blank screen issue when progressing along course and you go from one section (topic) to another. Only solution is to kill the app and launch it again and directly play the desired section, which is a pain in the neck.",Girishjjain,1,2.5
3/4/2016,Solid app,The app keeps getting better and better.,MarkQSchultz,5,2.5
3/1/2016,Loses offline viewing progress,"Downloading content works fine now, but the app consistently forgets the progress I've made while viewing downloaded content. Courses still appear as not viewed, even though I've spent hours watching them. That's pretty frustrating.",Jason Barile,2,2.5
2/25/2016,Downloaded Content Gone. App is shameful.,"All my downloaded content... gone with this update.

Come on guys, get your act together! You had the chance to rebuild the app from scratch and can't nail down a core feature? 

If you guys were doing this for the first time, I could forgive. But you've had the chance to re-release, and had multiple updates after... and still! And you've had an app for years! And Pluralsight is a multi-million dollar company... no mom-and-pop store! And last but not least, you're responsible for training experts in this kind of stuff, from iOS development to quality assurance, so guys should be the last people with these issues.

Disgraceful.",ZephyrDan,1,2.5
2/24/2016,Videos don't play,Downloaded a course but none of the videos that downloaded off of wifi play. Had to delete them and then re-download at home.,The Eversage,2,2.4
2/22/2016,App crashes,"App crashes everytime i try to search . This is probably from the new update, please fix.",Aj-thugzluv187,1,2.4
2/14/2016,I voted 2 stars few month ago but now i'm giving it 4,I voted 2 stars few month ago but now i'm giving it 4. This app really became better. The only reason why I didn't give it 5 is missing playback speed options. There is no 1.1 1.2 1.3 or 1.4 speed options like it is in web site. I hope Pluralsight will add these speed options.,vmaisuradze,4,2.3
2/8/2016,Loses offline progress,"The previous version locked up a lot while watching offline content, and this version fixed that.  Cool.  But now it seems to be losing the fact that I watched a bunch of videos offline, and when I go back online, those sections still show as “unwatched”.",Jason Barile,3,2.3
2/5/2016,Digital Tutor Users - Don't Bother,"Sadly, the app's username/password database is not calling to the same server list as the website. So my while my digital tutors subscription works fine on the pluralsight website, it does not work to log in to this app. Sadly, the digital tutors app doesn't appear to be updated any longer, so you are forced to use the pluralsight website, which is definitely not iPad/safari optimized...or continue to only have access to older videos on the digital tutors app.",torsorart,5,2.3
1/29/2016,Great update,"I was not a fan of rhe major rewrite, from the ground up version, not because it didnt look nice, but because it made offline viewing completely unusable. Since this is my primary way of consuming content, i had basically stopped watching. :(

I see INSTANT improvement, having just downloased the update. Great job, thx for listening to the feedback from customers.",Dcmessier,5,2.3
1/26/2016,Where is course download button??,"The download button is not available on my iPad or iPhone 6 app. I am having no luck finding ""download"", ""make offline"", or instructions on downloading course via the mobile app.
 I am really looking forward to this working as I poor reception at work and the gym.",MrWryt,3,2.3
1/25/2016,Much improved...but more to go,"Good color discrimination, slightly better download control, but still lacking the similar capabilities of desktop viewing (namely the broad 6 or 7 categories to discover new topics).",Sgt Maomao,3,2.3
1/25/2016,Much improved,"Still got quite a ways to go,  but the vast improvement and update deserves credit. 5 stars if you guys keep up the great progress!",mcl_syndicate,4,2.3
1/25/2016,Great upgrade,Great update.  Downloading had become a lot simpler!,Mbcorry,5,2.3
1/25/2016,New app improved a lot,This new and improved app is really good and thanks for giving us option of viewing videos on both portrait and landscape modes.,TheSparta14,4,2.3
1/25/2016,Great update,A nice update that now shows more clearly what courses have and have not been downloaded. Would really loved to have seen the picture in picture feature added as well. Hopefully next update will include that for the video playback.,JeremyFrick,4,2.3
1/23/2016,Can not access content w/ new release,"As stated by others, the search features in this app are not very helpful.  Returns of cut off titles to course chapters make the search feature pretty useless.  Watched content is often not synced with the web account.  This forces users to watch content multiple times if we need to be able to demonstrate the we completed a course.  With the Dec 2015 update, I can access my account, but not content. The app just spins when I try to access courses!   I purchase for my company.  One of the reasons I chose Pluralsight was for the mobile support.  The Pluralsight subscription and web site are decent value.  But I really I will question whether I want to renew our company account. We need mobility.  Most of our training is on our own time.  No one wants to be tied to a computer on our off time.",Gawyn210,1,2.2
1/22/2016,Cool company and content,Really love all the great stuff they have available,righty316,4,1.9.4
1/21/2016,Playback is horrible,"You would think being able to play video reliably would be the area Devs would put most effort considering that that's all you would be doing about 97% of the time you would be on this app.

It's a shame how much great content they have and how hard it is to get to it.",Kimanig,1,2.2
1/21/2016,Not functional,I can't even get a course to load,GoldenEagleRowing,1,2.2
1/16/2016,Hurry up and wait,Wait and wait and wait with frozen UI until the app updates its library. Don't expect to review you recent history...it's not available.,CDC23a,1,1.9.4
1/12/2016,Not good enough for a serious learner,"The play back is decent.  However, a large percentage of the time the app does not sync your watched content back to the website.  This has two negative impacts on the users. First, it can be very confusing trying to find where you left off.  The bigger issue is that if you are using   Pluralsight to qualify learning hours for a certification and the app doesn't sync your progress, you will need to watch content more than once to get credit for it.  This can be painful when you are several modules into learning and have to redo them. Pluralsight is pretty good, but this app needs improvement.",Gawyn210,1,1.9.4
1/9/2016,Poorly written iOS app,"The iOS app is terrible. Others have said it already. At least the old app would work if you put your phone on airplane mode and play downloaded courses. I thought the new design would result in a working app, but it's been a huge disappointment. I don't have a good answer to why I spent so much money on this service.",Djinn:))/$-&/:!!:!):)?:!,1,2.2
1/8/2016,Content great. Playback has issues though,"The educational content and value of the actual sub to pluralsight is great. This review is about the app itself. Playing back works fine most of the time when just using the iPhone, but casting to an AppleTV via Airplay just doesn't work reliably enough. About 50% of the time after a chapter finishes it will fail to advance and just spin the progress indicator forever. This does not occur when only viewing through the iPhone. If fixed this would be a 5 star app. One trick to get it to not stop after chapters is to use a chromecast, set your iPhone to NEVER auto lock, turn down the screen brightness to dave battery, then let it rip. It will not stop after chapters this way, although thats not an ideal way to have to use the app.",Stonedauwg,2,2.2
1/8/2016,"Awful, useless search feature","As a former PeepCode subscriber, the PluralSight app is very disappointing.  The search feature is essentially useless, because it returns a full list of matches to individual chapters, and it returns the, in a narrow pop-up.  You can't see enough information about the search results to know anything about them.

For example, search in the app for ""SharePoint"". Your results will say, ""SharePoint 2010 Documentation/Meet..."", ""SharePoint Server 2020 Administr..."", ""SharePoint 2013 Advance..."", and about a hundred other results.  Those are chapter titles, not titles for whole videos, so there is an enormous pile of results, and no way to evaluate them.

You basically have to search using their web site, then navigate by categories to find the video.  Ugh...

Update: This app is getting better but it's still awful.  The only reason I downloaded the latest version was to try to AirPlay videos, since the web version of Pluralsight doesn't support that.  The app has that feature but it doesn't work.",Ryan-in-Miami,2,2.2
1/4/2016,Easy switching from PC to mobile,"I started a course on my PC, closed Pluralsight, and resumed it on my iPhone. Love the flexibility.",gorka34,5,2.2
12/29/2015,Old app with swipe speed control & back was a lot better,This app was a lot better before with the way you could slide to control the speed or go back. This app is painful to use.,Neo302,1,2.2
12/23/2015,missing features,"The search mechanism needs work I should be able to search topics by just clicking on the language name.
There are courses which don't show in result through the app.
Can't seem to find download button, it's removed , UI bug or just poor UI design.",indi1999,2,2.2
12/17/2015,Great app,It has all the required features. Able to view multiple videos and has various features. It's a lot better than expected.,Vajja9,5,2.2
12/16/2015,Stops after each segment even for downloaded courses,I need to fiddle with the app after each section to get he next section working. It keeps showing the wait donut even for downloaded courses. I should be able to start a course and just sit back and watch on the phone or the TV.,vboctor,1,2.2
12/16/2015,"App is broken, Not Usable","I just discovered pluralsight & told myself that if the app works, I will purchase the subscription. I can't log in, my same login info works on the website but not the app. I can imagine that I'm not the only pluralsight customer to be lost due to a non-functional app.",MichaelAmaretto,1,2.2
12/10/2015,Can't Log In,Can't log in using my Digital Tutors account. There must still be migration issues on their end. Really hope they would finish their merger soon as their new business model is looking really sharp. I wish I could use the mobile app.,mrmattwebb,2,2.2
12/8/2015,Constantly stalling,"Even though I have a premium subscription, and I have downloaded the entire course, the video continues to pause throughout playback.every 5 to 10 seconds.",ncross,1,2.2
12/7/2015,Still missing publish date on course search,I'm stunned that the course publish date is STILL missing from the search results.,kdawg02,1,2.2
12/6/2015,"Good app, downloads don't work :(","App is nice, when using on wifi.  Download files doesn't seem to work in current version though :(",Mad_Chinaman,3,2.2
12/6/2015,Bad app for great content,"This is a maddening app and will impede rather than promote your consumption of Pluralsight courses.

It forgets your progress and thinks you have not watched all that you have. It refuses to auto-advance to the next chapter - just spins and spins like it's getting zero data. A terribly frustrating experience, and an utterly unworthy frontend to Pluralsight's excellent content matter.",c_b_p,1,2.2
12/5/2015,About 100x better than previous version,"Title says it all. 

Last version would crash or would lose login info and downloaded courses/lessons. 

New version is nice, has some added functionality and reflex improvements seen on the new site.",Fontenot Tech,5,2.2
12/4/2015,No auto play next track,"The old app used to automatically move to the next track after I finished playing one. I think it will if I watched the course from beginning to end, but I jump around a lot for topics that I'm interested in, or skip over things I already know.",Yanigisawa,1,2.2
12/3/2015,Frustrating experience,"Like many others have voiced, like the content, hate the buggy app.  I'd be happy if course modules would play continuously in order without having to go back to module list and pick the next module and then reselect playback speed.  At least the previous version got that part right.  Finding courses was easier too.  For the price of the content subscription, I expect better quality app experience, especially from an org that teaches app development.",rickford,2,2.1
12/2/2015,AirPlay doesn't work,I was excited to use this app with AppleTv AirPlay but it doesn't work at all.,Pete The Chop,3,2.1
12/2/2015,New app has tons of issues,"It may look pretty, but the new app is a huge step backward in usability. Downloaded videos pause consistently, videos don't auto play after one finishes, sometimes multiple videos play at the same time.  Hopefully they are working on these issues so I can enjoy watching PS videos again.",NinjaOnFire-79,1,2.1
11/30/2015,Erases my downloaded videos,"The app constantly removes my downloaded videos. I download a whole series of videos so that when I travel with no cell service I can watch the videos. However, I often find that when I open the app all of my videos are gone.",Ben 9-7-15,1,2.1
11/23/2015,Horrific,If you play and pause and then resume there are multiple audio streams overlapping each other! When redirecting the audio to the car system it also redirects the video even if it is not a video stream - this app is very bad.,Mago116,1,2
11/19/2015,The new version is awesome,"Subject selection is great, teachers are great. The app now lives up to the content. 

Everything is intuitive. The browsing, downloading and viewing the courses is easy.  The play continues in lock mode :-)

Thanks for the improvements. This is a home run.",amanuelhe,5,2.1
11/17/2015,Unreliable offline,Completely unreliable offline. Some days it plays downloaded course fine. Some days it simply won't play them at all.,[=!0112358!=],1,2.1
11/17/2015,Constantly disconnects w/ bluetooth headphones,Love the PSOD service. Old app was fine. Hate the new app.,Manapeace,1,2.1
11/16/2015,Recently Viewed always empty,My only beef with the app is Recently Viewed is always empty. Otherwise it works fine for me.,thatjokeisntfunnyanymore,3,2.1
11/11/2015,Great content but...,"Wow - an update!?
It is vastly improved and is worth a second look if you'd given up on it.  Bookmarks actually bookmark, history shows history, and gone is the minutes long ""Updating library"" every time you use the app.  It's functional now so kudos there but I'm slightly holding my breath on it until I have more time to review. 

Original review
The app provides a simple way to stream content from the PluralSight website but it is far too basic to even be considered on par with the advanced concepts they are presenting.  For shame.  Rudimentary search, no bookmarking, no notes, no favorites, etc. Hopefully these items will be addressed at some point.
Finally the most recent update simply allows you to more easily return to what you were watching but it's a small upgrade that does very little to raise the quality of this app.  Don't let this detract from the great content, though.  Looking forward to future updates.",mcarthey,4,2.1
11/11/2015,Downloading works poorly,Downloading courses doesn't work well. Only about half of the individual videos will play. This feature is the only reason I downloaded the app. Pluralsight courses in a web browser are great however.,cmhanck,2,2.1
11/9/2015,Hate!,"Nothing can describe the white hot hate I have for this app. You have to pay extra to use it. The one reason for me to pay extra for this was i could down load videos and use them on the train. With this it doesn't work unless you are  logged in the whole time, i guess to make sure we suddenly don't steal the videos midway through watching them, so not only do I have to use my data allotment on my phone, if I lose connection out goes my video. Thus defeats the purpose of my purchase of the higher priced subscription. I didn't like the last app but it was miles better. Plus the menus are frustrating, why does it force me straight into the first course? 

There is no love for people with no data plan on their I pad from plural sight anymore. I guess I'm suppose to use this in my house only.

I'm thinking of either down grading my subscription or canceling it altogether. For a company that is supposed to train IT professionals this pretty sad.",Keith90125,1,2.1
11/9/2015,2.1 is still a disaster! Stop releasing alpha versions!,"Still in shock that Pluralsight, one of the premier sites for dev training, cannot get its own app working. Please please please stop releasing alpha versions of your app. Problems with 9.1:
1) Offline viewing is STILL broken. Even if you download the videos the app will not access them correctly. Seriously, test this functionality before releasing!
2) two videos still play at the same time. Don't take my word for it, use the app and check it out. It's awful.
3) incomplete downloading of videos- videos get stuck downloading for minutes, they never finish 

Dear Pluralsight, again, please test your app before releasing these alpha versions. They don't even have basic functionality!",Ulmel,5,2.1
11/8/2015,First time ever writing a review,"Never wrote a review before, but this update on the iPad is the worst where I have to voice my opinion. 

Features to bring back

-Playback speed .1x increments
-Ability to view episodes while playing the lesson
-Indicator to see which episodes you already watched so you know where you left off on.  Right now I'm either guessing or have to bookmark before exiting, that's stupid. 
-Recently viewed doesn't show the lesson I was last watching so I have to search for it again. This means I have to remember each of the titles. 

Bring these back. The new UI also looks pretty bad.",huhoic,1,2.1
11/8/2015,Wrong direction,"Before, it took forever to initially load. Now nothing comes up for any profile related page including a courses table of contents.",BahajsjsbHajsbsbdj,1,2.1
11/8/2015,The Pluralsight dev team is responsive,"In my experience, no software ships completely bug-free. I know for a fact that the Pluralsight dev team works to fix bugs as soon as they are identified. This app version is infinitely superior to the previous one. Great job, team, and thanks!",Susan-112,5,2.1
11/7/2015,Awful,"What did you guys do ?  At least with old version I could watch the courses and learn something.  With version 2.1 doesn't work on any of my mobile devices.

Please down grade looking pretty doesn't mean it works better too.

I'll give it another week and will cancel my membership if not fixed.",Gens Labs,1,2.1
11/7/2015,Fail!,Cannot even install the update! Removed the app then tried to re-install....now it will not let me install it back onto my iPad. Restarted the iPad and still will not install. Installed another app and that one worked fine. For a company that teaches how to develop it sure cannot get its own apps to perform!,Retired 39,4,2.1
11/6/2015,Didn't think it could get worse,I think they have some of the best people presenting topics but I can't believe this new version of the app simply isn't working for me. The old version would work on my 6+ with a feel of the old iphone 4 size. I ended up canceling but then when this new app version came out I signed back up! The app looks great but I can't get anything to play.  It just spins and spins but nothing plays.  I hope they fix this with a new version.,michael-ca,4,2.1
11/6/2015,Do you yearn to see a UIActivityIndicatorView?,"You probably don't know what I'm even talking about because you can't get the iOS Fundamentals video (or any other for that matter) to load. You'll get to see plenty of spinners in this app, but probably not many training videos. Pretty, but non-functional.",Boneuriffic,1,2.1
11/5/2015,Horrible,"I can't get a single video to play. On wifi or cell.
iPhone 6s, iOS 9.1",RevBoy2k,1,2.1
11/5/2015,The app locks up constantly.,This app locks up constantly even after bug fixes.  It ruins the user experience for the courses. A lot of people take courses on mobile.  Please find a quality development team and pay them a bit more that knows the basics of developing stable apps for IOS.,GKoshy,1,2.1
11/4/2015,The absolute worst,Bad bad bad. Horrible layout. Impossible to keep track of multiple course order. You would expect better from a company that puts out such great content. This app is truly frustrating.,Doood123,1,2.1
11/4/2015,V2 lost playback speed choices,"See some very needed improvements, and areas that still need work. 
Most significant step backward is playback speed now has 3 fixed choices, .5, 1, 1.25. Previously could change in  0.1 increments. I almost always set at 1.5x or higher.
2nd v2 loss is indicators what has been watched and current module/lesson within course.  Downloaded indicator present, but very small and easily missed. 
Note this app is for Pluralsight paid subscribers, not useful without it.",wyzmbb,3,2.1
11/4/2015,A much improved app.,"Took a long time, but finally the app is usable compared to the previous version.",rmsoccer7,5,2.1
11/4/2015,Still unusable,"The courses are excellent but the app is unusable (hangs, crashes, poor design, e.g. no sync between the toc of the course and the videos). Don't bother with it, go to the website. The website has its problems too (ironically!) but at least it is somewhat usable.",LevLion,1,2.1
